gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
NRIP2,-0.000949131764245229,0.0006942099302671411,-0.0018940980248059454,-0.000712966547307473,-0.0007173497950318542,Trajectory-1,57.0,0.0
NRXN2,-0.0015610068044142568,0.000945078384647861,-0.0030887841772933196,-0.0011381624422019166,-0.0007327243631110246,Trajectory-1,42.0,0.0
NTS,-0.0021062925260315157,0.001117233666107064,-0.004233508660850575,-0.0019595251032989295,-0.001030372200821245,Trajectory-1,26.0,0.0
OR10H1,0.00267548848586557,-0.0003335725453894723,0.00040891546936491313,0.0021021906501354133,-0.0006448921101923802,Trajectory-2,0.0,124.0
OR55B1P,0.0015316933774669555,-0.00032848641725253446,0.0016328101854354805,-0.001043433933226035,0.0003439291018904284,Trajectory-2,0.0,209.0
OR6Y1,0.00014230793573764852,0.00042884265911603505,-0.001604018478529859,7.68290120070953e-05,-4.234008540854775e-05,Trajectory-1,30.0,0.0
PALM3,-0.0020831998930498233,0.0008136346319317589,-0.002769226466076171,-0.001308479506914392,0.0008382233389740321,Trajectory-1,78.0,0.0
PAPLN,-0.0035193528079252336,0.0014996401271722588,-0.002475731626457129,-0.002155737548046241,0.002437924824387615,Trajectory-1,107.0,0.0
PAPPA,-0.003720707481850634,0.001370713703303844,-0.0019265502302352403,-0.002067254288814014,0.00098697211989958,Trajectory-1,123.0,0.0
PAQR5,-0.00458455385963897,0.0021913426148152016,0.0006994989409741328,-0.0003703926071719781,0.0013753480074387163,Trajectory-1,165.0,0.0
PCDHA12,0.002219337085730033,-0.00017363251136615762,-0.00021893326275077344,0.0017375948779625619,-5.7554688179640604e-05,Trajectory-2,0.0,104.0
PCDHA4,0.003599887339420575,-0.0010778906616133765,0.0035797159298271044,-0.0004987484445768047,-0.0005092038935364352,Trajectory-2,0.0,222.0
PCDHB11,0.003289336927768998,-0.0008748572837215809,0.0028291753380469023,-0.0001770581069388404,-0.0003878798746294713,Trajectory-2,0.0,214.0
PCDHB16,0.003270474019245724,-0.0008705359526556866,0.0027730819481125765,-0.00025653542051782115,-0.00033271279838028927,Trajectory-2,0.0,216.0
PCDHB19P,0.0037931977477042573,-0.0016528423817419805,0.006656085949625321,-0.005166920576230474,0.0009114052721270935,Trajectory-2,0.0,265.0
PCDHGA6,0.0023366849027771017,-0.0001647048373061241,-0.0001416990113156104,0.001967594370002517,-0.00047831008172942576,Trajectory-2,0.0,100.0
PCDHGA7,0.0006965001458129154,-1.050057825370432e-05,0.0006020606149015646,-0.0005599437047925864,1.248986371978544e-05,Trajectory-1,89.0,0.0
PCLO,0.003104396589554682,-0.0007699921171488552,0.0025038342912362564,-0.00018553495591347818,-8.535987606875781e-05,Trajectory-2,0.0,207.0
PCP4L1,-0.006263320804147631,0.001218784980510212,3.880329106492199e-05,-0.001359986828774516,0.0026049781967982712,Trajectory-1,169.0,0.0
PCSK1N,-0.0019564896281629197,0.0011287468534240666,-0.0024379779382567687,-0.0013253020693295345,0.0018905193115248717,Trajectory-1,72.0,0.0
PDCD6IPP1,0.002617108879020603,-0.0003613918783251453,0.0007225344946573235,0.0013756214076598831,-0.0004903157770685143,Trajectory-2,0.0,152.0
PDCL3P4,0.0015818210497238914,0.00017419080207412086,-0.0011510370963955887,0.0015433642073349547,0.0002705796066269588,Trajectory-2,0.0,51.0
PDE8B,-0.003148039399331618,0.001293380216190718,-0.003133639837771177,-0.0025705467788508813,-0.0029992849947747084,Trajectory-1,85.0,0.0
PDZD4,-0.0006422768378878407,0.0006443393359442056,-0.0016616441849881373,-0.0004780166580739053,0.0019116250562640376,Trajectory-1,54.0,0.0
PEG10,-0.0021107312802103864,0.0008044296219566345,-0.0033546224688102678,-0.0015388710898912679,0.0021349465547037838,Trajectory-1,52.0,0.0
PFN1P1,0.0026334563280661903,-0.0005123070499991672,0.001523880657972906,0.00021593267941291837,1.6515327924647672e-05,Trajectory-2,0.0,187.0
PHKG1,0.00243111208825988,-0.00025640623931416976,0.00029491182407413887,0.0015907963750843642,-0.00037450974050567027,Trajectory-2,0.0,135.0
PIEZO2,0.0038487423048418823,-0.0015624014921949544,0.0061174514196923645,-0.004229794573452836,0.0007043652314587107,Trajectory-2,0.0,255.0
PIF1,0.0004489640924241216,0.00034332082294077123,-0.001092816725857921,5.1589998628530485e-05,0.0003258766569616089,Trajectory-1,93.0,0.0
PITX1,-0.00973855007382718,-0.0029353928228838984,-0.0009520295560338672,-0.002674669907150992,0.0005566499541404306,Trajectory-1,185.0,0.0
PLA2G10,-0.007612555350420103,0.0037590928826313533,0.002201617857891489,-0.0008363918828892855,0.0008558455408513089,Trajectory-1,178.0,0.0
PLA2G2A,-0.002204261046631758,0.0009904636950787448,-0.0029987569346725616,-0.0013989054522450459,-0.0002952440088811106,Trajectory-1,59.0,0.0
PLCG2,0.002737549929768155,-0.0004778218603381362,0.0011978109469406293,0.0010188729806721193,-0.00037648816917660666,Trajectory-2,0.0,164.0
PLEKHA7,-0.0028265482902773563,0.0008101264697324177,-0.0033060496965463685,-0.0019767581029458956,0.0010453808599010948,Trajectory-1,80.0,0.0
PMAIP1,0.0013906625269447504,0.0002316156054021028,-0.001120740058049698,0.0011523715552801508,0.0005858323271698901,Trajectory-2,0.0,72.0
PNPLA7,0.0018358383445852618,-0.0005170409450169972,0.002496603301368203,-0.0017438874682676546,0.0002424564875910608,Trajectory-2,0.0,228.0
POPDC2,0.002074595199134957,-0.00015287399621360717,-0.00020972587691191435,0.0014333756012273845,-8.665768991418015e-05,Trajectory-2,0.0,122.0
POU5F1,-0.006957230131927907,0.0031272752321083288,-0.001389714583824264,-0.0028135304158888198,0.004053312700520135,Trajectory-1,149.0,0.0
POU5F1_2,-0.02133712404420726,0.0190912046537446,0.020326359000133333,0.01427257446623663,0.005271165136268475,Trajectory-1,223.0,0.0
PPIAP3,0.00028086202610576647,0.0002945192620268315,-0.0005534265243622049,-0.00014905407275957704,-3.8312974672082696e-05,Trajectory-1,63.0,0.0
PPIAP72,0.0018309696728535966,4.429749858737546e-06,-0.0006402025031264162,0.0014406962185909366,-0.00011808048711955613,Trajectory-2,0.0,95.0
PPP1R2P10,0.002422246647313744,-0.0003766714370398803,0.0009571657559506098,0.000599568130357043,-0.00013028878504018636,Trajectory-2,0.0,168.0
PRDM6,-0.022023680408700473,-0.0339463174359118,0.004441805397181253,0.008376918836583995,-0.00019939592648108412,Trajectory-1,230.0,0.0
PRELID1P5,0.0016029866249641122,-9.932950701878593e-06,-0.0006375703894692857,0.000996995509742669,0.0004288154985062418,Trajectory-2,0.0,113.0
PRELP,-0.005456800677698988,0.0024120167024349174,-0.0011160795938693216,-0.0025801928642228433,0.002860310224950858,Trajectory-1,141.0,0.0
