gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
Emb,0.001198786759552862,-0.0008052142672591662,0.0011274115541190695,0.003983877444026152,0.0028615303774301676,Other,0.0,0.0,0.0
Emcn,-0.02709858532113914,0.08164132107379443,-0.0025760403579009193,0.012165361853226966,0.015457239969429963,Trajectory-3,0.0,0.0,29.0
En1,0.0011228623439241403,-0.0007517262158140742,0.0009443881899210948,0.0019488556484882032,-0.0020021679930448642,Other,0.0,0.0,0.0
Enkur,0.0006224588003829777,-0.00042729526630854575,0.0008862790986072881,-0.008128353291797417,0.0029098312874304825,Other,0.0,0.0,0.0
Eomes,0.0014011863005284802,-0.0009541918353172944,0.0014192309382100895,0.00940436337267512,0.015726837041762625,Other,0.0,0.0,0.0
Epha5,0.0011162328194707378,-0.0007488832621543968,0.0008850091653573559,0.0019568091323041072,-0.002790813122922491,Other,0.0,0.0,0.0
Epha8,0.0012765535800535687,-0.0008606267146634372,0.0012213286147407358,0.005441730284109254,0.006107380884209372,Other,0.0,0.0,0.0
Erich2,0.0009326131173122454,-0.0006117120686961018,0.0009216244811309864,-0.001759984932711247,-0.00029755459903017107,Other,0.0,0.0,0.0
Esam,-0.014741604466755466,0.04307963147405,-0.0010459692943603394,-0.005451890809749508,-0.01078139718057111,Trajectory-3,0.0,0.0,13.0
Etv2,0.0009270256335484627,-0.0004972608613164547,0.0008492011441405331,0.0007921404040142884,-0.0015498611473957935,Other,0.0,0.0,0.0
Exoc3l4,-0.008429915766314628,0.024315461440861743,-0.0003213675397953262,-0.00893717805117966,-0.014332540455371983,Trajectory-3,0.0,0.0,6.0
F2rl2,-0.005676278878707232,-0.0002129935750209678,0.00011512017918769955,-0.009431491641808452,-0.0023992850132626923,Trajectory-1,2.0,0.0,0.0
Fabp1,0.0009911515304271566,-0.0006536784913548273,0.0008734556749848708,0.0007979833763237523,-0.0016477526291372349,Other,0.0,0.0,0.0
Fam183b,0.0005777354983101177,-0.0004030807892532905,0.0008512481282193748,-0.008712092795113806,0.002784482316356715,Other,0.0,0.0,0.0
Fam212a,-0.0013774444316083652,-3.208681261984889e-05,0.0002925853797495867,-0.004629663823475617,-0.0028867148259403884,Other,0.0,0.0,0.0
Fbxl22,0.0012637463919982384,-0.0017892050954416896,-0.04176411504277089,-0.0007356928068125017,-0.006647576344372398,Trajectory-2,0.0,16.0,0.0
Fcer1g,0.00033458197729087813,0.0007726376652555696,0.0007644548979288126,-0.0018304106249166215,-0.0018747113373798194,Other,0.0,0.0,0.0
Fer1l5,3.267412347787964e-05,-0.0002023033466652318,0.0007787530866148779,-0.02627390783294824,0.013487505042727993,Other,0.0,0.0,0.0
Fev,-0.0003154410795849676,0.0016675584894090098,0.00035659504991384744,-0.005861544831990083,-0.00425840386646432,Other,0.0,0.0,0.0
Fezf1,0.0011268552039063718,-0.000756502097272998,0.0009446812352976279,0.0020311844619241705,-0.002056250220436597,Other,0.0,0.0,0.0
Fgb,0.0008753430313527318,-0.0006014773458796703,0.0009397838522247345,-0.0001547547824596887,-0.0018911319250096024,Other,0.0,0.0,0.0
Fgf17,0.0011895775727846242,-0.0007961945006360894,0.0010554554478449062,0.003197206199517202,0.0004685025231485932,Other,0.0,0.0,0.0
Fgf20,0.0007607325580880569,-0.0004974333740478933,0.0007256807892964072,-0.004447223684067571,-0.00033528299344029434,Other,0.0,0.0,0.0
Fgf8,0.0012900923087018185,-0.0008714013803807545,0.0012440864186343472,0.005850646828894339,0.006923961015504401,Other,0.0,0.0,0.0
Fgfbp1,0.0010384215025121182,-0.0006758378078810964,0.001004640115195558,0.0006457835604244346,-0.001255137269763872,Other,0.0,0.0,0.0
Fgfbp3,0.0011427201993438085,-0.0007650968851021828,0.0009836907541596448,0.0024933456731533812,-0.0012850376523999688,Other,0.0,0.0,0.0
Fgg,0.000902878703111282,-0.0006120675477896708,0.000960968745049331,-0.0012881669760249532,-0.0001352668031555234,Other,0.0,0.0,0.0
Fli1,-0.005233373382750141,0.013896157678679584,1.0477203616967413e-05,-0.009834428473675022,-0.011488507878595051,Trajectory-3,0.0,0.0,2.0
Fmr1nb,0.0011969212251292116,-0.0008020740030089408,0.0011531412802894137,0.003875595502712453,0.004176242301148159,Other,0.0,0.0,0.0
Fn3krp,0.0008618951500403092,-0.0006812313343723892,0.0007951123733200645,0.0007784016957507001,-0.0009186515189426562,Other,0.0,0.0,0.0
Folr1,0.0010426729282300199,-0.0006801550365573224,0.0010300340067525195,0.0010421555924087925,-0.0008841575242562285,Other,0.0,0.0,0.0
Foxa1,0.0009227593692571467,-0.0005997196876864115,0.0008899144075614408,-0.0013139467434946572,-0.0008921430727068613,Other,0.0,0.0,0.0
Foxa2,0.0011615443298153005,-0.0007720132170122567,0.0011078587135228005,0.0026830420127005117,0.0025442996503926545,Other,0.0,0.0,0.0
Foxc2,0.0010180581131350223,-0.0006431864532867698,0.0007785143050704857,0.0009680691323097351,-0.0033067814796964097,Other,0.0,0.0,0.0
Foxd1,0.0010180303014967315,-0.0006745283997813307,0.0007328560422609616,0.0007688857651928404,-0.003422887460684841,Other,0.0,0.0,0.0
Foxd4,0.0010923646870798396,-0.0007277059046386269,0.000951077376047773,0.0012507085678727704,-0.0013196701679491158,Other,0.0,0.0,0.0
Foxf1,0.0010066084142956661,-0.0006537549213665145,0.0006527058622205445,0.0007689111137795745,-0.004181755913689816,Other,0.0,0.0,0.0
Foxj1,0.001101200686847041,-0.0007292702423610894,0.0011088857349127858,0.001609767136797182,0.0030804466188306275,Other,0.0,0.0,0.0
Foxq1,0.0009641192901533337,-0.0006027370673979481,0.000944383760725387,-0.0010401852900692214,-0.0019431831273176439,Other,0.0,0.0,0.0
