gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
DNM1P47,-0.005179676360744768,0.0027088299094179076,-0.0032981958572549054,0.0013622419324527087,0.004271475512483648,Trajectory-1,161.0,0.0
DNM1P51,-0.0062865087358980505,0.001634174873644515,-0.0036475268812209832,0.0018298473521458673,0.002323443512894243,Trajectory-1,118.0,0.0
DOK6,0.004893396318819258,0.0002951183660661946,0.0013541248694170938,-0.004332177202577402,-0.001988891457850085,Trajectory-2,0.0,29.0
DPPA2,0.01153461487705389,-0.007302759610923607,0.00019615040109297155,0.016606503885151096,0.003953335034011273,Trajectory-2,0.0,187.0
DPYD,-0.004544879224077472,0.0018916454938518125,-0.0007509075104508661,-0.00032035399093310586,0.0004095314022704269,Trajectory-1,170.0,0.0
DRC7,-0.008050154925961747,-0.002022496040911939,-0.0022284291848354214,0.0018239204532712024,-0.003942120903525188,Trajectory-1,54.0,0.0
DTX3L,0.009544615060930003,-0.004822112878587226,0.00018881474641888635,0.008178518819045789,0.0009276345830101451,Trajectory-2,0.0,167.0
DVL3,0.005186936752431943,0.00020708056892770364,0.0013546498770602266,-0.0049090817351358515,-0.0025465516054800534,Trajectory-2,0.0,7.0
EBI3,-0.01529720584835229,-0.026091034236111973,0.009763391448621091,-0.005174766017993882,0.004659036159641636,Trajectory-1,16.0,0.0
EDN1,0.000219496338781742,0.0026851837038518976,0.001403915064251215,-0.004146551804146553,2.675175049896238e-05,Trajectory-1,260.0,0.0
EEF1AKMT1,0.005963304641108042,-0.0005847521375954186,0.0010566055815556046,-0.0034497260861033204,-0.0024060291693082,Trajectory-2,0.0,39.0
EGLN3P1,-0.010331851715044372,-0.003574135196892936,-0.0015173977019552747,0.0042484831112365,-0.01280691130141207,Trajectory-1,35.0,0.0
EGR3,-0.007420398295815485,0.0019286610105690668,-0.004358091839526147,0.0033897401090534117,0.0005899888745478174,Trajectory-1,99.0,0.0
EIF1P7,-0.009538358604879327,-0.0029097730057934213,-0.002696445247246916,0.0034772850782458587,-0.008730839437080886,Trajectory-1,41.0,0.0
EIF5AP2,-0.006351017187178034,0.0015993954467804767,-0.004223062721927459,0.0018628863919476777,0.001501137256959644,Trajectory-1,115.0,0.0
EMC10,0.006009287740719556,-0.000657085185167888,0.0009828344943105325,-0.003394542710053514,-0.0024538160557746247,Trajectory-2,0.0,38.0
