dataset,variant,seed,coherence,coverage,strength,n_sig
paul15,cNMF,3,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,4,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,5,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,6,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,7,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,8,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,cNMF,9,0.3939128940710483,0.5670955882352942,1.9572328103467425,34
paul15,scHPF,0,0.5720888363376497,0.6958974358974359,2.707740533197441,87
paul15,scHPF,1,0.593687501860998,0.80625,2.863027344692998,96
paul15,scHPF,2,0.6074179822812372,0.7458333333333333,2.776103829619619,97
paul15,scHPF,3,0.5819986150145902,0.651336898395722,2.731867603389339,67
paul15,scHPF,4,0.5883043712894928,0.6835606060606061,2.422724624741517,96
paul15,scHPF,5,0.5670259842882395,0.6874242424242424,2.2973630161503213,102
paul15,scHPF,6,0.6274244214123411,0.709090909090909,2.756482291282341,78
paul15,scHPF,7,0.5760357949853683,0.7458789576436635,2.695389904452461,105
paul15,scHPF,8,0.5797180722547748,0.6627005347593583,2.7185001490660268,67
paul15,scHPF,9,0.5929123913093977,0.6922222222222223,2.633140147219584,99
paul15,ProdLDA,0,0.4249361364630959,0.7238095238095238,1.4124098591424907,100
paul15,ProdLDA,1,0.2991741143709552,0.8888888888888888,1.4524035521290757,168
paul15,ProdLDA,2,0.2934216681024927,0.9583333333333334,1.437643893175769,234
paul15,ProdLDA,3,0.4005888097386673,0.9583333333333334,1.5898158947927306,124
paul15,ProdLDA,4,0.4163179775579804,0.8333333333333333,1.4993146607801835,69
paul15,ProdLDA,5,0.4353019102544323,0.7043650793650794,1.443845215998343,103
paul15,ProdLDA,6,0.2634428187425334,0.6347222222222222,1.3630148506600532,100
paul15,ProdLDA,7,0.2765933288363044,0.8785714285714286,1.903952526449578,107
paul15,ProdLDA,8,0.4185763293709009,0.7,1.4215301058033163,74
paul15,ProdLDA,9,0.2638049282861546,0.5611111111111111,1.5644884711104343,29
dentategyrus,PRISM_opt0,0,0.3532764134756404,0.7653641456582634,3.995901348276882,111
dentategyrus,PRISM_opt0,1,0.3652695989369264,0.6003205128205129,3.451816065671417,107
